Deporte, Codigo
Futbol, FBL
Baloncesto, BSK
Tenis, TEN
Natacion, SWM
Boxeo, BOX
Atletismo, ATH
Golf, GLF
Criquet, CKT
Beisbol, BSB
Rugby, RUG
Voleibol, VOL
Balonmano, HBL
Ciclismo, CYC
Hockey, HOC
Esqui, SKI
Snowboard, SBD
Hockey sobre hielo, IHO
Surf, SRF
Badminton, BDM
Tenis de mesa, TTE
Lucha, WRS
Judo, JUD
Karate, KTE
Taekwondo, TKW
Esgrima, FEN
Tiro con arco, ARC
Tiro, SHO
Equitacion, EQU
Triatlon, TRI
Halterofilia, WLF
Vela, SAL
Remo, ROW
Piragüismo, CAS
Monopatín, SKS
Escalada, CLB
Gimnasia, GYM
Artes marciales, MAR
Polo, POL
Deportes de motor, MCS
Esports, ESP
